128        0.0000000		Acquisition Running
 ID     SSSSSSSS.mmmuuun  CH AMP
  1      302.2310785   5  53
  1      302.2317587   1  51
  1      302.2332917   9  51
  1      302.2347165   1  52
  1      305.7645258   7  65
  1      305.7646095   8  66
  1      305.7646567   2  62
  1      305.7646747   1  69
  1      305.7647162   3  53
  1      305.7650523   4  63
* Gp# 1[7,8,1] x =      754, y =     5337, q = 0.9934 dT[   144,   352] Src Amplitude = 65.0
*        305.7645258   7  65
*        305.7646095   8  66
*        305.7646747   1  69
  1      305.7650653   9  65
  1      305.7650760   5  63
  1      305.7651055  10  65
  1      305.7651065   6  63
  1      305.7711805   7  51
  1      305.7727653   7  50
  1      305.7744768   7  50
  1      305.7748635   2  53
  1      305.7771863   8  50
  1      305.7789590   6  53
  1      305.7793000   5  51
  1      305.7803030   6  52
  1      305.7815098   8  50
  1      305.7817867   9  51
  1      305.7818008   1  51
  1      305.7833132  10  50
  1      305.7842733   1  50
  1      309.2899165   7  67
  1      309.2899973   8  68
  1      309.2900452   1  74
  1      309.2900470   2  64
  1      309.2901068   3  57
  1      309.2903420   6  66
  1      309.2904160   9  68
* Gp# 1[7,1,6] x =     1246, y =    188.6, q = 0.9852 dT[   341,   531] Src Amplitude = 67.0
*        309.2899165   7  67
*        309.2900452   1  74
*        309.2903420   6  66
  1      309.2904223   5  66
  1      309.2904400   4  68
  1      309.2904512  10  69
  1      309.2928250   3  52
  1      309.3039470   2  52
  1      309.3067593   8  53
  1      309.3071298   4  50
  1      309.3090065   6  50
  1      309.3096985   5  50
  1      309.3103745   8  51
  1      309.3104895   4  51
  1      309.3106863  10  51
* Gp# 1[8,4,10] x =     1033, y =    648.1, q = 1 dT[   115,   312] Src Amplitude = 51.0
*        309.3103745   8  51
*        309.3104895   4  51
*        309.3106863  10  51
  1      312.4981330   7  66
  1      312.4982170   8  67
  1      312.4982518   2  63
  1      312.4982820   1  70
  1      312.4983235   3  55
  1      312.4985972  10  66
* Gp# 1[7,8,1] x =     1023, y =     1998, q = 1 dT[   143,   352] Src Amplitude = 66.0
*        312.4981330   7  66
*        312.4982170   8  67
*        312.4982820   1  70
  1      312.4986595   4  63
  1      312.4986725   9  66
  1      312.4986835   5  63
  1      312.4987155   6  65
  1      312.5056712   7  51
  1      312.5078830   7  51
  1      312.5112405   8  51
  1      312.5120905   5  51
  1      312.5125625   6  54
  1      312.5131808   8  50
  1      312.5135573   5  53
  1      312.5139110   6  51
  1      312.5149437   9  51
  1      312.5155858   6  50
  1      312.5165857   9  51
  1      312.5169205  10  51
  1      312.5171962   1  52
211      319.8375695		Time Mark
  1      323.3790727   1  51
  1      323.3856027   1  51
  1      323.3878757   1  51
  1      323.3893893   9  51
  1      323.3900280   1  53
  1      323.3901108  10  51
  1      323.3916450   8  50
  1      323.3918718   1  52
  1      323.3924523  10  50
  1      323.3932848   9  51
  1      323.3935765   1  53
  1      323.3937108  10  51
  1      323.3946450   8  50
  1      323.3946810   9  52
  1      323.3952555  10  52
  1      323.3959033   6  50
* Gp# 1[8,9,10] x =     1970, y =     3348, q = 1 dT[    36,   903] Src Amplitude = 50.0
*        323.3946450   8  50
*        323.3946810   9  52
*        323.3952555  10  52
  1      323.3959297   1  61
  1      323.3968005   9  51
  1      323.3974808  10  52
  1      323.3984938   9  50
  1      323.3990180  10  53
  1      323.3991635   5  51
  1      323.3992405   4  50
  1      323.3998280   9  51
  1      323.3998732   6  50
  1      323.4003785   2  50
  1      323.4014173   8  51
  1      323.4014663   5  51
  1      323.4015617   9  52
  1      323.4016003   6  50
  1      323.4027395   2  50
  1      323.4036782  10  54
  1      323.4037032   8  51
  1      323.4038342   9  52
  1      323.4038580   5  51
  1      323.4040880   4  52
  1      323.4046500   6  51
  1      323.4054678   4  50
  1      323.4059668   6  52
  1      323.4062118   8  52
  1      323.4062192   5  51
  1      323.4063020   9  55
  1      323.4072340   4  50
  1      323.4080125   6  52
  1      323.4082153   5  51
  1      323.4083145   8  53
  1      323.4088478   2  51
  1      323.4097155   8  51
  1      323.4099160   6  51
  1      323.4100348   5  51
  1      323.4102562  10  53
  1      323.4102732   4  51
  1      323.4110432   2  51
  1      323.4113873   8  51
  1      323.4114293   6  50
  1      323.4118150   4  50
  1      323.4122162  10  58
  1      323.4126958   6  51
  1      323.4129420   2  51
  1      323.4129577   8  51
  1      323.4130995   5  50
  1      323.4131880   4  51
  1      323.4142337   6  50
* Gp# 1[6,2,8] x =    321.8, y =     2381, q = 1 dT[   246,   569] Src Amplitude = 51.0
*        323.4126958   6  51
*        323.4129420   2  51
*        323.4129577   8  51
  1      323.4147865   2  52
  1      323.4150568   8  51
  1      323.4152378   4  52
  1      323.4152785   5  52
  1      323.4158638   6  51
  1      323.4164823   8  51
* Gp# 1[8,4,2,5] x =     2076, y =    417.8, q = 0 dT[   177,   359,   473] Src Amplitude = 51.0
*        323.4150568   8  51
*        323.4152378   4  52
*        323.4147865   2  52
*        323.4152785   5  52
  1      323.4168947   4  51
  1      323.4169533   5  52
  1      323.4172715   2  51
  1      323.4173040   6  53
  1      323.4179623   8  50
  1      323.4181380   4  50
  1      323.4190567   2  51
  1      323.4191315   6  52
  1      323.4191960   5  52
  1      323.4196028   4  52
  1      323.4196253   8  54
  1      323.4208883   2  51
  1      323.4213965   6  52
  1      323.4214545   4  51
  1      323.4218962   5  53
  1      323.4220952   9  59
