128        0.0000000		Acquisition Running
211        2.7575993		Threshold for Channel   1 is now  41dB {Fixed}
211       15.7867710		Threshold for Channel   1 is now  50dB {Fixed}
211       16.7522970		Threshold for Channel   2 is now  50dB {Fixed}
211       16.7533183		Threshold for Channel   3 is now  50dB {Fixed}
211       16.7542332		Threshold for Channel   4 is now  50dB {Fixed}
211       16.7552573		Threshold for Channel   5 is now  50dB {Fixed}
211       16.7561743		Threshold for Channel   6 is now  50dB {Fixed}
211       16.7571933		Threshold for Channel   7 is now  50dB {Fixed}
211       16.7581063		Threshold for Channel   8 is now  50dB {Fixed}
211       16.7591025		Threshold for Channel   9 is now  50dB {Fixed}
211       16.7599942		Threshold for Channel  10 is now  50dB {Fixed}
 ID     SSSSSSSS.mmmuuun  CH AMP
  1      240.9449283   5  64
  1      240.9449340   4  60
  1      240.9449938  10  66
  1      240.9449983   6  64
  1      240.9450927   9  65
* Gp# 1[7,2,8,3,1,6,10] x =    880.4, y =    112.1, q = 0.9286 dT[    53,   113,   149,   199,   574,   924] Src Amplitude = 56.0
*        240.9444690   7  56
*        240.9445157   2  58
*        240.9445175   8  62
*        240.9446205   3  52
*        240.9445340   1  70
*        240.9449983   6  64
*        240.9449938  10  66
  1      240.9457945   2  57
  1      240.9530140   2  51
  1      240.9534420   8  52
  1      240.9564978   6  51
  1      240.9567468   5  51
  1      240.9578158   1  52
  1      240.9580548   9  52
  1      240.9590260  10  50
  1      240.9620000  10  51
  1      243.9920465   7  61
  1      243.9921723   2  63
  1      243.9921768   8  66
  1      243.9921845   1  72
  1      243.9922670   3  55
  1      243.9925837   4  62
  1      243.9925850   5  67
  1      243.9926373   9  68
* Gp# 1[7,8,3,1,4] x =     1661, y =     8.07, q = 0.9596 dT[   112,   153,   198,   732] Src Amplitude = 61.0
*        243.9920465   7  61
*        243.9921768   8  66
