128        0.0000000		Acquisition Running
 ID     SSSSSSSS.mmmuuun  CH AMP
  1      664.7230450   3  75
  1      664.7231645   2  74
  1      664.7233962   6  72
  1      664.7234633   5  70
  1      664.7235835   4  70
  1      664.7235870   9  73
  1      664.7236102  10  75
  1      672.1738585   8  77
  1      672.1739102   7  77
  1      672.1739370   1  76
  1      672.1739662   3  77
  1      672.1742080   2  75
  1      672.1742172   5  72
  1      672.1742275   6  73
  1      672.1745300  10  76
  1      672.1745985   4  72
  1      672.1746260   9  74
  1      672.1810590   3  62
* Gp# 1[8,7,1,3,5,6] x =     2101, y =   -16.71 dT[    52,    79,   108,   359,   369] Src Amplitude = 77.0
*        672.1738585   8  77
*        672.1739102   7  77
*        672.1739370   1  76
*        672.1739662   3  77
*        672.1742172   5  72
*        672.1742275   6  73
  1      672.1831710  10  62
  1      672.1859513   9  62
  1      672.1862470   6  62
  1      672.1874003   5  62
  1      679.0829542   8  78
  1      679.0830432   7  77
  1      679.0830695   1  80
  1      679.0830990   3  79
  1      679.0832605   2  78
  1      679.0833092   6  75
  1      679.0833500   5  75
  1      679.0834965   4  74
  1      679.0835555  10  77
  1      679.0836503   9  78
  1      679.0901385   8  62
* Gp# 1[8,7,1,3,6,5,10] x =     2269, y =   -20.41 dT[    89,   115,   145,   355,   396,   601] Src Amplitude = 78.0
*        679.0829542   8  78
*        679.0830432   7  77
*        679.0830695   1  80
*        679.0830990   3  79
*        679.0833092   6  75
*        679.0833500   5  75
*        679.0835555  10  77
  1      679.1008842   1  62
  1      685.7640050   8  75
  1      685.7640890   1  72
  1      685.7641320   7  74
  1      685.7642332   3  73
  1      685.7643372   2  71
  1      685.7645743   6  68
  1      685.7646585   5  68
  1      685.7648385   9  70
  1      685.7648410   4  68
  1      685.7649437  10  72
  1      685.7714312   1  62
  1      693.1812250   8  77
  1      693.1812740   7  77
  1      693.1813025   1  76
  1      693.1813320   3  78
  1      693.1815060   2  75
  1      693.1815833   5  71
  1      693.1815932   6  74
  1      693.1818838   9  74
  1      693.1819642   4  73
  1      693.1820182  10  77
  1      693.1841260   7  63
  1      693.1883672   3  62
* Gp# 1[8,7,1,3,5,6] x =     2093, y =   -17.63 dT[    49,    78,   107,   358,   368] Src Amplitude = 77.0
*        693.1812250   8  77
*        693.1812740   7  77
*        693.1813025   1  76
*        693.1813320   3  78
*        693.1815833   5  71
*        693.1815932   6  74
  1      693.1912080   4  62
  1      693.1933170   9  62
  1      693.1939345   1  63
  1      699.4744995   8  77
  1      699.4745512   7  75
  1      699.4745805   1  76
  1      699.4746070   3  78
  1      699.4747683   2  75
  1      699.4748583   5  71
  1      699.4748685   6  74
  1      699.4751585   9  74
  1      699.4752643   4  72
  1      699.4753610  10  75
  1      699.4841240  10  62
* Gp# 1[8,7,1,3,5,6] x =     2098, y =   -18.13 dT[    52,    81,   108,   359,   369] Src Amplitude = 77.0
*        699.4744995   8  77
*        699.4745512   7  75
*        699.4745805   1  76
*        699.4746070   3  78
*        699.4748583   5  71
*        699.4748685   6  74
  1      699.4878612   1  63
130      708.9378887		Acquisition Paused
